time,speed (kph),,,
199,70.6502016,,,
200,69.8455296,,,
201,69.5236608,,,
202,69.5236608,,,
203,69.3627264,,,
204,69.201792,,,
205,69.201792,,,
206,69.3627264,,,
207,69.8455296,,,
208,70.6502016,,,
209,70.811136,,,
210,70.006464,,,
211,68.5580544,,,
212,66.787776,,,
213,65.5003008,,,
214,64.37376,,,
215,64.37376,,,
216,64.8565632,,,
217,65.983104,,,
218,67.592448,,,
219,68.7189888,,,
220,69.3627264,,,
221,69.5236608,,,
222,69.8455296,,,
223,70.6502016,,,
224,71.2939392,,,
225,71.9376768,,,
226,72.5814144,,,
227,73.0642176,,,
228,73.7079552,,,
229,74.834496,,,
230,75.4782336,,,
231,75.9610368,,,
232,76.2829056,,,
233,76.1219712,,,
234,76.1219712,,,
235,75.9610368,,,
236,75.9610368,,,
237,75.9610368,,,
238,75.8001024,,,
239,75.639168,,,
240,75.639168,,,
241,75.4782336,,,
242,75.3172992,,,
243,75.4782336,,,
244,75.639168,,,
245,75.9610368,,,
246,76.44384,,,
247,77.0875776,,,
248,77.248512,,,
249,77.248512,,,
250,77.248512,,,
251,77.248512,,,
252,77.248512,,,
253,77.4094464,,,
254,77.5703808,,,
255,77.5703808,,,
256,77.4094464,,,
257,78.2141184,,,
258,78.6969216,,,
259,79.0187904,,,
260,79.0187904,,,
261,79.0187904,,,
262,79.0187904,,,
263,79.0187904,,,
264,78.857856,,,
265,78.6969216,,,
266,77.5703808,,,
267,76.7657088,,,
268,76.44384,,,
269,75.9610368,,,
270,75.1563648,,,
271,74.3516928,,,
272,74.029824,,,
273,73.7079552,,,
274,73.3860864,,,
275,73.0642176,,,
276,72.7423488,,,
277,72.42048,,,
278,71.9376768,,,
279,71.615808,,,
280,71.1330048,,,
281,70.006464,,,
282,68.8799232,,,
283,67.592448,,,
284,64.5346944,,,
285,62.1206784,,,
286,60.3504,,,
287,57.6145152,,,
288,55.8442368,,,
289,54.717696,,,
290,53.5911552,,,
291,52.30368,,,
292,51.0162048,,,
293,49.2459264,,,
294,47.6365824,,,
295,46.3491072,,,
296,45.7053696,,,
297,46.0272384,,,
298,47.475648,,,
299,50.5334016,,,
300,53.7520896,,,
301,57.2926464,,,
302,60.3504,,,
303,62.9253504,,,
304,64.6956288,,,
305,66.1440384,,,
306,67.2705792,,,
307,68.2361856,,,
308,68.8799232,,,
309,69.6845952,,,
310,70.4892672,,,
311,71.2939392,,,
312,71.9376768,,,
313,72.42048,,,
314,72.7423488,,,
315,73.0642176,,,
316,73.225152,,,
317,73.7079552,,,
318,74.029824,,,
319,74.1907584,,,
320,74.834496,,,
321,75.3172992,,,
322,75.8001024,,,
323,76.7657088,,,
324,77.7313152,,,
325,78.857856,,,
326,79.9843968,,,
327,80.9500032,,,
328,82.076544,,,
329,83.2030848,,,
330,84.3296256,,,
331,85.4561664,,,
332,86.5827072,,,
333,87.709248,,,
334,88.8357888,,,
335,89.8013952,,,
336,90.7670016,,,
337,91.5716736,,,
338,91.732608,,,
339,91.8935424,,,
340,92.2154112,,,
341,92.6982144,,,
342,93.0200832,,,
343,93.341952,,,
344,93.5028864,,,
345,93.9856896,,,
346,94.4684928,,,
347,94.6294272,,,
348,94.7903616,,,
349,94.951296,,,
350,94.951296,,,
351,94.7903616,,,
352,94.6294272,,,
353,94.3075584,,,
354,93.9856896,,,
355,93.6638208,,,
356,93.5028864,,,
357,93.341952,,,
358,93.1810176,,,
359,92.6982144,,,
360,92.3763456,,,
361,92.0544768,,,
362,91.8935424,,,
363,91.732608,,,
364,91.732608,,,
365,91.5716736,,,
366,91.5716736,,,
367,91.5716736,,,
368,91.732608,,,
369,91.732608,,,
370,91.732608,,,
371,91.732608,,,
372,91.732608,,,
373,91.732608,,,
374,91.732608,,,
375,91.732608,,,
376,91.732608,,,
377,91.5716736,,,
378,91.4107392,,,
379,90.927936,,,
380,90.4451328,,,
381,90.123264,,,
382,90.123264,,,
383,90.123264,,,
384,90.2841984,,,
385,90.7670016,,,
386,91.2498048,,,
387,91.5716736,,,
388,91.8935424,,,
389,92.2154112,,,
390,92.3763456,,,
391,92.3763456,,,
392,92.0544768,,,
393,91.732608,,,
394,91.5716736,,,
395,91.0888704,,,
396,90.6060672,,,
397,90.2841984,,,
398,90.7670016,,,
399,91.2498048,,,
400,91.8935424,,,
401,92.53728,,,
402,93.0200832,,,
403,93.341952,,,
404,93.341952,,,
405,93.341952,,,
406,93.341952,,,
407,93.341952,,,
408,93.341952,,,
409,93.1810176,,,
410,93.0200832,,,
411,92.8591488,,,
412,92.8591488,,,
413,93.0200832,,,
414,93.1810176,,,
415,93.341952,,,
416,93.5028864,,,
417,93.9856896,,,
418,94.7903616,,,
419,95.1122304,,,
420,95.5950336,,,
421,96.2387712,,,
422,96.3997056,,,
423,96.3997056,,,
424,96.2387712,,,
425,95.9169024,,,
426,95.5950336,,,
427,95.2731648,,,
428,95.1122304,,,
429,94.951296,,,
430,94.7903616,,,
431,94.4684928,,,
432,94.3075584,,,
433,94.146624,,,
434,93.9856896,,,
435,93.9856896,,,
436,93.8247552,,,
437,93.6638208,,,
438,93.5028864,,,
439,93.341952,,,
440,93.1810176,,,
441,93.1810176,,,
442,93.1810176,,,
443,93.1810176,,,
444,93.1810176,,,
445,93.341952,,,
446,93.5028864,,,
447,93.5028864,,,
448,93.6638208,,,
449,93.6638208,,,
450,93.6638208,,,
451,93.5028864,,,
452,93.341952,,,
453,93.341952,,,
454,93.341952,,,
455,93.341952,,,
456,93.341952,,,
457,93.341952,,,
458,93.1810176,,,
459,93.1810176,,,
460,93.341952,,,
461,93.5028864,,,
462,93.5028864,,,
463,93.6638208,,,
464,93.8247552,,,
465,93.8247552,,,
466,93.8247552,,,
467,93.6638208,,,
468,93.5028864,,,
469,93.341952,,,
470,93.0200832,,,
471,92.53728,,,
472,91.8935424,,,
473,91.732608,,,
474,91.0888704,,,
475,90.2841984,,,
476,90.123264,,,
477,89.8013952,,,
478,89.318592,,,
479,88.8357888,,,
480,88.6748544,,,
481,88.51392,,,
482,88.3529856,,,
483,88.3529856,,,
484,88.3529856,,,
485,88.3529856,,,
486,88.3529856,,,
487,88.3529856,,,
488,88.51392,,,
489,88.51392,,,
490,88.51392,,,
491,88.51392,,,
492,88.51392,,,
493,88.51392,,,
494,88.6748544,,,
495,88.6748544,,,
496,88.51392,,,
497,88.3529856,,,
498,88.3529856,,,
499,88.1920512,,,
500,88.0311168,,,
501,87.8701824,,,
502,87.5483136,,,
503,87.3873792,,,
504,87.3873792,,,
505,87.2264448,,,
506,87.0655104,,,
507,87.0655104,,,
508,87.0655104,,,
509,86.904576,,,
510,86.904576,,,
511,86.904576,,,
512,86.904576,,,
513,86.904576,,,
514,86.904576,,,
515,86.904576,,,
516,86.904576,,,
517,87.0655104,,,
518,87.2264448,,,
519,87.709248,,,
520,88.1920512,,,
521,88.3529856,,,
522,88.51392,,,
523,88.6748544,,,
524,88.8357888,,,
525,88.8357888,,,
526,88.9967232,,,
527,89.1576576,,,
528,89.318592,,,
529,89.4795264,,,
530,89.6404608,,,
531,89.8013952,,,
532,89.9623296,,,
533,90.123264,,,
534,90.123264,,,
535,90.123264,,,
536,90.123264,,,
537,90.123264,,,
538,90.123264,,,
539,90.123264,,,
540,90.123264,,,
541,90.123264,,,
542,90.123264,,,
543,90.123264,,,
544,90.123264,,,
545,90.123264,,,
546,90.123264,,,
547,89.9623296,,,
548,89.9623296,,,
549,89.9623296,,,
550,89.8013952,,,
551,89.4795264,,,
552,89.1576576,,,
553,88.8357888,,,
554,88.6748544,,,
555,88.51392,,,
556,88.3529856,,,
557,87.8701824,,,
558,87.5483136,,,
559,87.2264448,,,
560,87.0655104,,,
561,86.5827072,,,
562,85.9389696,,,
563,85.7780352,,,
564,85.4561664,,,
565,85.1342976,,,
566,84.6514944,,,
567,84.3296256,,,
568,84.0077568,,,
569,83.8468224,,,
570,83.685888,,,
571,83.685888,,,
572,83.685888,,,
573,83.685888,,,
574,83.8468224,,,
575,83.685888,,,
576,83.685888,,,
577,83.5249536,,,
578,83.0421504,,,
579,82.7202816,,,
580,82.2374784,,,
581,81.5937408,,,
582,80.9500032,,,
583,80.1453312,,,
584,79.3406592,,,
585,78.3750528,,,
586,77.5703808,,,
587,77.4094464,,,
588,77.248512,,,
589,77.248512,,,
590,77.4094464,,,
591,77.8922496,,,
592,78.6969216,,,
593,78.857856,,,
594,79.0187904,,,
595,79.0187904,,,
596,78.857856,,,
597,78.857856,,,
598,78.6969216,,,
599,78.2141184,,,
600,77.7313152,,,
601,77.248512,,,
602,77.0875776,,,
603,76.9266432,,,
604,76.7657088,,,
605,77.0875776,,,
606,77.7313152,,,
607,78.857856,,,
608,79.0187904,,,
609,78.857856,,,
610,78.6969216,,,
611,77.248512,,,
612,75.8001024,,,
613,74.3516928,,,
614,74.1907584,,,
615,74.1907584,,,
616,74.3516928,,,
617,75.4782336,,,
618,76.9266432,,,
619,78.857856,,,
620,79.9843968,,,
621,81.4328064,,,
622,82.881216,,,
623,84.0077568,,,
624,84.8124288,,,
625,85.295232,,,
626,86.2608384,,,
627,86.904576,,,
628,87.0655104,,,
629,87.5483136,,,
630,88.0311168,,,
631,88.6748544,,,
632,89.1576576,,,
633,89.1576576,,,
634,88.51392,,,
635,87.709248,,,
636,86.2608384,,,
637,84.49056,,,
638,80.7890688,,,
639,77.5703808,,,
640,74.834496,,,
641,74.3516928,,,
642,74.029824,,,
643,74.029824,,,
644,74.5126272,,,
645,75.3172992,,,
646,76.44384,,,
647,77.5703808,,,
648,78.5359872,,,
649,79.662528,,,
650,80.7890688,,,
651,81.5937408,,,
652,82.2374784,,,
653,83.2030848,,,
654,84.0077568,,,
655,84.49056,,,
656,83.8468224,,,
657,83.0421504,,,
658,82.2374784,,,
659,82.076544,,,
660,82.076544,,,
661,82.2374784,,,
662,82.7202816,,,
663,83.2030848,,,
664,83.685888,,,
665,84.0077568,,,
666,84.49056,,,
667,84.9733632,,,
668,84.8124288,,,
669,84.6514944,,,
670,84.1686912,,,
671,84.1686912,,,
672,84.3296256,,,
673,84.49056,,,
674,84.8124288,,,
675,84.8124288,,,
676,84.3296256,,,
677,83.8468224,,,
678,83.2030848,,,
679,82.2374784,,,
680,81.271872,,,
681,80.6281344,,,
682,80.1453312,,,
683,79.9843968,,,
684,79.8234624,,,
685,79.662528,,,
686,79.662528,,,
687,79.9843968,,,
688,80.4672,,,
689,80.7890688,,,
690,81.4328064,,,
691,82.2374784,,,
692,83.0421504,,,
693,83.5249536,,,
694,83.685888,,,
695,83.8468224,,,
696,84.3296256,,,
697,85.1342976,,,
698,85.7780352,,,
699,86.4217728,,,
700,87.2264448,,,
701,87.709248,,,
702,88.1920512,,,
703,88.51392,,,
704,89.318592,,,
705,89.9623296,,,
706,90.2841984,,,
707,90.6060672,,,
708,90.7670016,,,
709,90.927936,,,
710,91.2498048,,,
711,91.5716736,,,
712,91.732608,,,
713,92.2154112,,,
714,92.8591488,,,
715,93.6638208,,,
716,94.6294272,,,
717,95.1122304,,,
718,95.2731648,,,
719,95.1122304,,,
720,94.6294272,,,
721,94.146624,,,
722,93.5028864,,,
723,92.8591488,,,
724,92.2154112,,,
725,91.8935424,,,
726,91.4107392,,,
727,90.927936,,,
728,90.4451328,,,
729,89.318592,,,
730,87.8701824,,,
731,87.0655104,,,
732,86.4217728,,,
733,85.6171008,,,
734,85.1342976,,,
735,84.49056,,,
736,83.685888,,,
737,82.5593472,,,
738,81.271872,,,
739,79.662528,,,
740,78.053184,,,
741,76.6047744,,,
742,75.3172992,,,
743,73.3860864,,,
744,71.1330048,,,
745,68.39712,,,
746,63.0862848,,,
747,57.7754496,,,
748,52.4646144,,,
749,47.1537792,,,
750,43.1304192,,,
751,39.428928,,,
752,34.600896,,,
753,31.382208,,,
754,28.0025856,,,
755,24.3010944,,,
756,19.9558656,,,
757,15.6106368,,,
758,11.265408,,,
759,8.04672,,,
760,5.3108352,,,
761,3.218688,,,
762,1.1265408,,,
763,0,,,
764,0,,,
765,0,,,
